"ID","lnB0_start","Th_start","Ea_start","Eh_start","lnB0","Th","Ea","Eh","r2","AIC","AICc","BIC","trait_name","consumer","habitat","stage"
45,-7.3066836908459,313.425013506634,-6.17700961735511,0.627532905328205,-2.19379893555131,292.726242054381,0.553887339703803,3.40471784581457,0.99047667765754,-30.8777268724444,Inf,-32.439975222708,"net photosynthesis rate","cladophora glomerata","freshwater","algal inocula"
46,-2.26239715971421,289.010783144398,-2.35082131883488,1.14295070370655,-1.49356012908285,314.257011906657,0.197925614024541,8.14550634558086e-07,0.409189395447651,-15.5839566698657,-2.25062333653234,-15.2661905031463,"respiration rate","cladophora glomerata","freshwater","algal inocula"
47,-2.15605188553353,350.171020366732,-1.76726307169845,0.276617875949146,-1.25475913123833,292.437782314809,0.737003958779946,2.96482903120438,0.968306351383564,-23.558812986221,-3.55881298622102,-23.7751723899998,"gross photosynthesis rate","cladophora glomerata","freshwater","algal inocula"
49,0.0656568831792854,338.219461428079,-6.36143753249171,-0.190465148270065,-1.45865918532544,291.121816638578,0.601439758907242,1.07719399291843,0.455967888378021,-14.4425155604636,-1.10918222713027,-14.1247493937443,"respiration rate","cladophora glomerata","freshwater","algal inocula"
50,2.27706982116009,309.958183249716,-3.50235237343163,0.483622835292136,4.58687235537603,299.602660551491,0.213284779978897,1.28519118083852,0.996446050532773,27.8280877606045,Inf,26.2658394103409,"net photosynthesis rate","picea sitchensis","terrestrial","forest shoots"
59,-5.7208948008166,110.69014124369,-2.47390294379103,0.562236510559332,1.21429510363014,286.570285901784,1.01239803795529,1.58925520787658,0.920186126860821,9.5919579560538,29.5919579560538,9.37559855227505,"net photosynthesis rate","picea sitchensis","terrestrial","shoot"
61,2.26100520724951,337.853675428079,-5.90334783014171,-0.547772075656498,0.853843321879388,288.210730070535,1.16377568347077,2.34618794464298,0.994177852852199,-3.55431258743759,Inf,-5.11656093770119,"net photosynthesis rate","picea sitchensis","terrestrial","shoot"
62,3.72896823586475,304.755990376617,-2.50719230220909,0.238251986030167,2.40770126239678,287.294710041404,0.897878327318064,1.43592201393663,0.999997606208353,-32.4604449768077,Inf,-34.0226933270713,"net photosynthesis rate","picea sitchensis","terrestrial","shoot"
67,4.38480726656863,315.248689249716,-5.86838280513891,-0.646355773883738,2.48265472603014,290.415044417099,0.670975303267508,1.50849238067073,1,-236.398948352454,-276.398948352454,-238.853770907974,"net photosynthesis rate","picea sitchensis","terrestrial","forest shoots"
73,-0.978550583366643,271.953545228057,-10.9171273058044,0.651218766769483,-1.28569000616203,293.173496504446,0.278457798860519,5.82875417140241,1,-249.283763076589,-289.283763076589,-251.738585632109,"net photosynthesis rate","picea sitchensis","terrestrial","forest shoots"
