"ID","consumer","trait_name","B0start","T0","Tm","B0","AIC","BIC","habitat","location","stage"
475,"Plantago euryphylla","respiration rate","0.00395199120555208",-12.8611627293786,73.1527446046676,0.0105221639158691,"71.0810480573058","71.3988142240251","terrestrial","Kosciusko National Park, NSW, Australia","root"
476,"Plantago lanceolata","respiration rate","0.0857392931436692",-12.5789091733783,41.8136415734817,0.0194734643673113,"73.0563525239861","73.3741186907054","terrestrial","Emorsgate Seed Pty Ltd (Norfolk, UK)","root"
477,"Plantago lanceolata","respiration rate","0.0349018496595304",-12.8840256384953,37.5283179392124,0.0278168149832659,"71.5461462476555","71.8639124143749","terrestrial","Emorsgate Seed Pty Ltd (Norfolk, UK)","root"
482,"Plantago lanceolata","respiration rate","0.00118943616576511",-8.24210316015404,35.8789474333902,0.0260202161469938,"29.1483525410894","27.5861041908258","terrestrial","Emorsgate Seed Pty Ltd (Norfolk, UK)","root"
483,"Fontinalis antipyretica","gross photosynthesis rate","-4.90344383051333",-59.0905046556683,24.4633997282193,0.527936893160863,"72.195184355204","70.6329360049404","freshwater","Esthwaite Water, English Lake District",NA
484,"Fontinalis antipyretica","respiration rate","-0.239550938068639",-33.8885051751095,24.9164024515858,0.0387852222649676,"43.8100966951047","42.2478483448411","freshwater","Esthwaite Water, English Lake District",NA
487,"Acacia craspedocarpa","net photosynthesis rate","0.127727811541503",10.5597274708929,57.099363731043,0.00888511516544574,"-7.15296745638227","-6.83520128966293","terrestrial","Lakeside Station, near Cue. Western Australia","leaf"
489,"Rhagodia baccata","net photosynthesis rate","0.200917339353428",11.4890081054425,61.4287500245978,0.0130418575531105,"0.545921968544437","-1.01632638171916","terrestrial","Lakeside Station, near Cue. Western Australia","leaf"
496,"Quercus coccinea","respiration rate","9.15191155999725e-05",4.02440966364244,40.8705812325098,0.000247593275904122,"-22.4178585117033","-23.9801068619668","terrestrial","Coweeta Hydrological Laboratory, Southern Apalachians, Western North Carolina, Usa","leaf"
503,"Quercus coccinea","respiration rate","0.00414857310484353",3.96770348374215,41.1099464894975,0.00305010787183574,"0.884454689926566","-0.677793660337032","terrestrial","Coweeta Hydrological Laboratory, Southern Apalachians, Western North Carolina, Usa","leaf"
505,"Mougeotia","net photosynthesis rate","-0.0198847196113437",-35.4400307238093,34.8439178268049,0.00678053440666215,"48.4080314026919","48.1916719989132","aquatic","Little Rock Lake, Wisconsin",NA
507,"Vicia faba","respiration rate","0.0285881069484428",-24.2623678891865,49.738727071049,0.0026094065308075,"36.9471870208377","36.11422489775","terrestrial","Department of Agricultural Botany, Plant Science Laboratories, The Univeristy of Reading, Whiteknights, Reading","4-7 week old plants"
516,"Glycine max","respiration rate","0.529130472658767",-55.2495416220494,50.9088483793928,0.0122007679225656,"61.1331733915793","61.9220717009242","terrestrial","Crop Physiology Laboratory, Department of Plants, Soils and Biometeorology, Utah State University, Logan UT, Usa; Escola Agrotecnica Federal de Colatina, Colatina, Brazil",NA
518,"Glycine max","net photosynthesis rate","-0.185859083191167",-15.9699701354802,32.4760181854338,0.0412301980949449,"76.3808167876474","77.1697150969923","terrestrial","Crop Physiology Laboratory, Department of Plants, Soils and Biometeorology, Utah State University, Logan UT, Usa; Escola Agrotecnica Federal de Colatina, Colatina, Brazil",NA
519,"Glycine max","net photosynthesis rate","-0.217630064609646",-24.3155942163256,32.3939417094875,0.0337175580210298,"79.5850064398729","80.3739047492177","terrestrial","Crop Physiology Laboratory, Department of Plants, Soils and Biometeorology, Utah State University, Logan UT, Usa; Escola Agrotecnica Federal de Colatina, Colatina, Brazil",NA
524,"Cladonia convoluta","respiration rate","-0.000846014013419299",-1.30604666907262,17.2454967507614,0.00172906306177625,"461.339365729846","479.166444352134","terrestrial","Wurzburg, Ammerfield near Aschfeld, Bavaria Germany",NA
526,"Cladonia convoluta","respiration rate","0.00299243224978161",5.57815060573621,19.337123928197,0.00313928052707981,"498.158893815169","512.796822678208","terrestrial","Wurzburg, Ammerfield near Aschfeld, Bavaria Germany",NA
528,"Lecanora muralis","respiration rate","0.00127211736684166",4.61548221155922,21.6237797474494,0.00108876049956267,"331.987818698554","349.528596294545","terrestrial","Wurzburg, Ammerfield near Aschfeld, Bavaria Germany",NA
530,"Diploschistes muscorum","respiration rate","0.001906301862203",-7.6339449576373,22.7273004563051,0.000663989253062995,"888.164139743677","905.323002027313","terrestrial","Wurzburg, Ammerfield near Aschfeld, Bavaria Germany",NA
